"","result_1a_slope","result_1a_se","result_1b_p","result_1c_AIC","result_1d_slope","result_1d_se","result_1e_p","result_1f_AIC","result_2a_slope","result_2a_se","result_2b_p","result_2c_AIC","result_2d_slope","result_2d_se","result_2e_p","result_2f_AIC","result_3a_slope","result_3a_se","result_3b_p","result_3c_AIC","result_3d_slope","result_3d_se","result_3e_p","result_3f_AIC"
"888",-0.115047054411742,0.0215322591261194,1.664368275648e-06,-168.682509161192,-0.0888548666205188,0.0208528838478842,7.71374595062296e-05,-171.837585484097,0.728926872283051,0.0534198903228464,1.32045814747192e-19,-61.1184197271999,0.79789474245981,0.0491170640083091,4.72268250591615e-23,-70.2345106941704,7.90086166966073e-12,0.0534198903233725,0.999999999882508,-61.1184197271999,6.10988217298182e-13,0.0491170640083647,0.999999999990118,-70.2345106941703
"889",-0.122258323783104,0.0236110585566053,3.04330848117107e-06,-160.578267566475,-0.0962742132938618,0.0206041406072354,1.86066400097149e-05,-173.956664363663,0.697925694657884,0.0515063511932557,1.79280475470282e-19,-64.8409466258481,0.774043296513711,0.0472699274961204,3.24228149624554e-23,-75.0542761931342,-1.56867087323786e-09,0.0515063510876924,0.999999975806071,-64.840946625848,-1.32707429122129e-11,0.0472699274955548,0.999999999776979,-75.0542761931342
"890",-0.131700405563125,0.0229250576244491,3.75092831215785e-07,-161.721317972703,-0.0925137781095254,0.0208960481068671,4.36985851815175e-05,-171.772555236629,0.700768523768133,0.0502634170748777,5.11627971595732e-20,-64.5836453982443,0.785423692210202,0.0478160205912523,2.79974131433169e-23,-72.7388277559195,4.74364747808174e-11,0.0502634170807348,0.999999999250286,-64.5836453982443,-1.44629679935101e-11,0.0478160205899661,0.999999999759719,-72.7388277559195
"891",-0.0605861577312409,0.0251454276131491,0.0192298804616598,-148.804668439654,-0.0924247315774444,0.0208945017231964,4.42946149510665e-05,-172.537202126104,0.658215940427587,0.036936924436325,5.67493912101072e-25,-62.3999220189333,0.794683329637951,0.0482355711939598,2.43151433083692e-23,-73.0124004374719,-9.2363528072945e-11,0.0369369244194415,0.999999998013561,-62.3999220189335,-4.65452401375789e-12,0.0482355711935964,0.999999999923345,-73.0124004374719
"892",-0.108091255481755,0.0207298424213299,2.666447894652e-06,-168.864751192701,-0.0881878095242796,0.0207903379834908,8.23374259860382e-05,-171.617650714007,0.751937238557669,0.0471908123036121,1.16820480025746e-22,-67.2300434483929,0.794829692573398,0.0474189487297943,1.07276229844342e-23,-72.9577124902473,4.38027269603891e-11,0.047190812309676,0.999999999262641,-67.2300434483929,1.7414406567466e-11,0.0474189487319877,0.999999999708263,-72.9577124902473
"893",-0.0917944959281121,0.0220692120608406,0.000108668635621372,-171.974070753522,-0.0957512708818575,0.0207674620628635,2.31223539549879e-05,-172.344419178494,0.753411982359922,0.051235567961668,4.70135446447152e-21,-71.0921099146851,0.773754080296349,0.0473890878544774,3.71586861713781e-23,-73.6208752527106,1.808587439612e-10,0.0512355679688929,0.999999997195837,-71.0921099146851,-1.04594869957655e-12,0.0473890878544119,0.999999999982467,-73.6208752527107
"894",-0.104559662940581,0.0215754924156362,1.00602725817869e-05,-175.230557695653,-0.0927835003881661,0.0207634092629299,3.78978758808886e-05,-172.925425438693,0.719680272665035,0.0527725065195083,1.35409623305245e-19,-68.3019289563501,0.785972393153947,0.0481354514621428,3.70876234887786e-23,-72.9197141431835,-2.5575295000116e-11,0.052772506518623,0.999999999615011,-68.3019289563501,-2.31368270129507e-10,0.0481354514485133,0.999999996181664,-72.9197141431834
"895",-0.0747509565471237,0.0208890332969639,0.000713962667727621,-171.923137239603,-0.0882715276812053,0.0209853171929817,9.27986655293671e-05,-170.329597482106,0.801240146722651,0.0494978734556432,5.57770053634369e-23,-66.5175585508243,0.79579849909803,0.0484746314570444,2.87437855383578e-23,-70.176161670278,9.05341697650204e-12,0.049497873456729,0.999999999854701,-66.5175585508243,1.02694639300914e-10,0.0484746314693991,0.99999999831706,-70.176161670278
"896",-0.0980533904880556,0.0240339133337858,0.000141756494341751,-159.222176874258,-0.0904297760886965,0.0211049909170673,7.11710481036524e-05,-170.517817202566,0.765713988673985,0.0587455113126807,9.63469474280166e-19,-53.238222510642,0.788486099366869,0.0497886429314801,1.55485263490171e-22,-68.8274260090249,1.95917329067522e-11,0.0587455113131304,0.999999999735069,-53.238222510642,-1.50778186887338e-11,0.0497886429308903,0.999999999759429,-68.8274260090248
"897",-0.122566096891216,0.0239519354612247,3.79647809777637e-06,-152.127243105938,-0.0946738249972948,0.0207711915985191,2.77943638780732e-05,-172.234532498182,0.787673702691848,0.0606528065537963,1.12796824158742e-18,-44.3995971290995,0.782578696268201,0.0488694536826037,9.25130460839233e-23,-70.8057388378899,-6.13617549906906e-11,0.0606528065530643,0.999999999196322,-44.3995971290995,-1.01382728516802e-12,0.0488694536825625,0.99999999998352,-70.8057388378899
"898",-0.129786998538259,0.0228508540175195,4.78299722551093e-07,-156.951850887961,-0.0975394156521269,0.0210649035598285,2.15743127994138e-05,-173.388509741448,0.693409577979721,0.0481844548294042,1.24521390582425e-20,-60.59815867647,0.774055211838148,0.0487171261777384,1.33395781544919e-22,-73.9388139254486,1.04382918580559e-10,0.0481844548409122,0.999999998279091,-60.59815867647,-2.22662142280332e-11,0.0487171261768687,0.999999999636922,-73.9388139254486
"899",-0.0917714404288211,0.0213667401639053,6.87217144835986e-05,-176.661725745899,-0.0899320080797462,0.0209863292938997,7.10482312950134e-05,-171.42219279684,0.752105943658424,0.0514040503433221,5.90014594071523e-21,-70.0375295372475,0.79197906991193,0.0478405522101028,1.9362153238032e-23,-73.2235704518686,5.87132083553156e-12,0.0514040503437596,0.999999999909265,-70.0375295372475,5.4811832561605e-11,0.0478405522140977,0.999999999089849,-73.2235704518685
"900",-0.121322845511888,0.0258287856830804,1.70611518785467e-05,-150.187550767574,-0.0972660502187693,0.0209235339397793,2.02384567068315e-05,-171.777873096074,0.683439067500394,0.0574630290330656,4.48413496886727e-17,-52.6688811637494,0.770992118296435,0.0486270835824166,1.47231909898192e-22,-71.3252405837736,-2.12633506094477e-13,0.0574630290330537,0.99999999999706,-52.6688811637494,6.62271034251103e-11,0.048627083585118,0.999999998918086,-71.3252405837736
