"","pp","magnitude.of.theta2","naive.SE.of.theta2","rel.location"
"1",0.044391271740295,1.44863803064272,0.0430726560773282,0.0533561313632953
"2",0.0554623049176815,2.26826088219897,0.0440209730111865,0.0470159796853826
"3",0.0391771722438484,1.5126001771751,0.0548956036149956,0.0120895648527317
"4",0.0242848469697511,2.06030495767356,0.0502614724919577,33.0643038993363
"5",0.0199278597192957,2.15730648021434,0.0407645711717942,0.399316830107754
"6",0.0433555944430556,1.52981930102352,0.0467232778529939,0.0653380649287482
"7",0.0393557372950966,1.80913342447609,0.0367057589815546,0.796340887869872
"8",0.0457840791400307,1.81239830216359,0.0291667662050578,0.997727468518397
"9",0.0355701582086354,0.904423316706228,0.0574038695989965,0.182255295485613
"10",0.0216777972215278,1.91226516081925,0.043792208437341,0.444782860460443
"11",0.0409271097460805,1.72512420513935,0.0549525736286563,0.160518253403187
"12",0.0372129566801186,1.98220677403735,0.0245794602550952,3.74517061607608
"13",0.0573550944609121,1.9051627251802,0.0334810606821094,1.45566009886093
"14",0.0339273597371522,1.9178508881721,0.0386747636736802,1.25654363807207
"15",0.0477840077140102,2.11267190793609,0.0507284785965029,2.25444742574445
"16",0.0398557194385915,1.46997760852718,0.0524229969783894,0.865787503306399
"17",0.0419985000535695,0.823136968954195,0.0481245961541572,56.2892954218618
"18",0.0473554515910146,1.56255729950265,0.0448731707880579,0.184568687674217
"19",0.0390343202028499,0.782824498175871,0.04184852112039,83.0164603103037
"20",0.0301060676404414,0.824889480290754,0.0392365088061424,1634.95106266085
"21",0.0478197207242598,1.76562365968843,0.0483786150529079,0.0669247375642045
"22",0.0448555408735402,0.670513593765879,0.0276989303291131,0.161724034996334
"23",0.0441412806685475,1.65176104516207,0.0498828436578966,0.0418162982399363
"24",0.0638191493160958,0.727793657245876,0.0204948259121206,0.375726647706588
"25",0.0286061212099568,1.14728526378941,0.0272337172159944,1.31320188665133
"26",0.0325345523374165,0.530296129148366,0.0431024451169091,6.81794080644341
"27",0.0369629656083711,1.08231108897562,0.0232041065368496,0.305220372307479
"28",0.0366772615263741,1.33536392181275,0.0366920529769868,0.245400573389379
"29",0.042248491125317,1.10064349271956,0.0173531637278262,2.15014214539404
"30",0.0369629656083711,2.15020784099458,0.0290874504889807,0.0131376970469046
"31",0.0386057640798543,0.923405958802577,0.0559307453103197,0.878246881179038
"32",0.0244276990107496,1.82674285395819,0.0640832756598032,0.40065539879581
"33",0.0410342487768294,1.93398511861013,0.0450300854147922,0.0831885687200244
"34",0.0470340344987679,1.00942500099805,0.0469703940765903,1.2456925875927
"35",0.056390843184172,1.81929630939688,0.044999955419622,0.00313663253200215
"36",0.0339273597371522,1.25124016591194,0.0552374469554365,0.811417647277359
"37",0.0509624656262276,2.03634005349954,0.0427697614598232,1.49074867444532
"38",0.028391843148459,1.79107601511762,0.050638378673361,0.0139989934861744
"39",0.0311060319274312,1.76074878478515,0.0519206466192114,0.968040844186592
"40",0.0320702832041713,1.98223192396613,0.0449263963200176,0.0767183047318155
"41",0.0452840969965358,1.9691473924253,0.0311456075897061,0.843174134640839
"42",0.042248491125317,1.33418741416013,0.0401570205902753,0.118277451198205
"43",0.0424270561765651,2.29136818075988,0.0461748410929415,0.227313015649497
"44",0.0269633227384736,1.81610722589521,0.0330008442931874,1.27486018680662
"45",0.0231420306417628,1.78810719695473,0.0350322422859965,0.41120426534428
"46",0.0561051391021749,1.84366378560327,0.0385263185419008,0.183627069965705
"47",0.0347844719831435,1.83301610620684,0.0260525831489122,0.164015649831758
"48",0.035605871218885,1.54782038967215,0.0178292202170649,0.108811185672111
"49",0.0368558265776222,1.781608179019,0.0469553538483635,0.876911043977282
"50",0.0434270204635549,1.72791368429876,0.0131214160939568,0.232343793058099
"51",0.0466054783757723,0.837385792373049,0.0419583868990765,0.0412668968579497
"52",0.0268918967179744,1.09140549523575,0.0570952386843435,4.68537341883517
"53",0.0506410485339809,0.0698655669523987,0.0386457744373477,1.03943086032936
"54",0.0478911467447591,1.2797292967874,0.0446144360678868,0.319479246145296
"55",0.0529981072104568,0.537408909178635,0.0342225793042399,11.003225996822
"56",0.0499267883289883,0.856759351102162,0.0437513034891297,0.467320207889182
"57",0.0433913074533052,0.639025271778449,0.0272398297063372,0.143081051219533
"58",0.0275347309024678,0.960639696972169,0.0703671728145222,0.0795662712912305
"59",0.0448555408735402,0.710351313045216,0.0275190397771389,0.428584932111231
"60",0.0688903967715439,0.323316686634944,0.0206131414893131,0.613280355551813
"61",0.129459662154923,0.4829335560797,0.0130393355180039,0.0567829518400697
"62",0.030927466876183,1.83645445366148,0.0215531567937641,2.6700901689315
