"","Mean","SD","Naive SE","Time-series SE","Effective Size"
"lnL",-97.8550384703269,3.21383095846442,0.0192059705749081,0.153734744057711,437.020693199291
"prior",-40.4953638779541,9.70362570099656,0.0579892197479823,0.394874363803494,603.87937066422
"alpha",0.120614783859898,0.025176750879806,0.000150457177996812,0.00068660821779041,1344.56366599644
"sig2",0.47052017125779,0.111468410291378,0.000666139269848499,0.00227054923114318,2410.13721711566
"k",5.29856076568694,2.10816467233313,0.0125984686771568,0.0860373396469945,600.392303605852
"ntheta",6.29856076568694,2.10816467233313,0.0125984686771568,0.0860373396469945,600.392303605852
"root",0.216772160636063,0.520081857550733,0.00310802807669622,0.0160090934626292,1055.38259629823
"all theta",0.995738237532205,1.55320002642709,NA,NA,NA
