"","Mean","SD","Naive SE","Time-series SE","Effective Size"
"lnL",-96.7438543966834,2.94119398482876,0.0175766821148267,0.124572409434762,557.447034201921
"prior",-40.4966311746542,9.52310952452629,0.0569104485187577,0.380286497988063,627.098477006148
"alpha",0.110676046724776,0.0277494087489564,0.000165831474894436,0.000808687311778685,1177.46012895046
"sig2",0.431582089327353,0.108259044074086,0.000646959980729053,0.00222070537200796,2376.54744890433
"k",5.28163279882861,2.07093012012579,0.0123759536403343,0.0832645403982744,618.601132731756
"ntheta",6.28163279882861,2.07093012012579,0.0123759536403343,0.0832645403982744,618.601132731756
"root",0.256062302240099,0.517354760280612,0.00309173084432719,0.0176205177443984,862.06411789762
"all theta",1.0335354747481,1.51947548261652,NA,NA,NA
