"","Mean","SD","Naive SE","Time-series SE","Effective Size"
"lnL",-95.7507115508674,3.10922585567448,0.0185808466800506,0.133442738755751,542.893507039586
"prior",-40.1262915093765,9.6509320145751,0.0576743203634243,0.386271056093198,624.243715116797
"alpha",0.135292821997536,0.0210724749030497,0.000125929875640329,0.000472099401429139,1992.34337930203
"sig2",0.47336474644603,0.106340463199574,0.000635494471715764,0.00212590868961694,2502.11854142407
"k",5.25802649905361,2.09457427096379,0.0125172519447978,0.0836135152608754,627.535883268549
"ntheta",6.25802649905361,2.09457427096379,0.0125172519447978,0.0836135152608754,627.535883268549
"root",0.18450412382823,0.462834306627626,0.00276591463242219,0.0127239255869247,1323.14927801081
"all theta",1.14876725050533,1.52339391033221,NA,NA,NA
