"","Mean","SD","Naive SE","Time-series SE","Effective Size"
"lnL",-92.4107412504197,3.23252156584834,0.0193176663237145,0.13832257862224,546.130848938991
"prior",-40.3032168056389,9.88762759409911,0.059088821746447,0.408490816523222,585.894750626371
"alpha",0.0932274657786764,0.0300443873923738,0.000179546350650247,0.00113003334138101,706.877553996646
"sig2",0.335848818293853,0.0925068076506805,0.000552824043541655,0.00219057420260448,1783.32891064001
"k",5.17035105889075,2.157407715698,0.0128927468934375,0.0900884497341342,573.490500040363
"ntheta",6.17035105889075,2.157407715698,0.0128927468934375,0.0900884497341342,573.490500040363
"root",0.341038473188728,0.473240914120061,0.00282810489689703,0.0133579806602913,1255.11334848163
"all theta",1.00482179958027,1.54751402462725,NA,NA,NA
