"","Mean","SD","Naive SE","Time-series SE","Effective Size"
"lnL",-100.637929904997,2.96714524655971,0.01773176779781,0.11125938477763,711.220562464202
"prior",-40.2992868503142,9.77850690266963,0.0584367125298161,0.409407380840153,570.471243858939
"alpha",0.126522830624046,0.0226378650411114,0.00013528470398022,0.000522672470019181,1875.90863070556
"sig2",0.535074383962986,0.123003081852854,0.00073507088618553,0.0023579979933067,2721.10389129426
"k",5.26631191743152,2.11967915388587,0.0126672796372681,0.0888474542890832,569.180850374644
"ntheta",6.26631191743152,2.11967915388587,0.0126672796372681,0.0888474542890832,569.180850374644
"root",0.14054322022377,0.498764816071984,0.00298063666231375,0.0153609364588777,1054.28064669921
"all theta",1.12926172715697,1.5616015639755,NA,NA,NA
